"%1 item","%1 item"
"%1 items","%1 items"
"A total of %1 filter(s) have been updated.","A total of %1 filter(s) have been updated."
"A-Z","A-Z"
"Add canonical URLs","Add canonical URLs"
"AHEADWORKS EXTENSIONS","AHEADWORKS EXTENSIONS"
"All filters have been updated.","All filters have been updated."
"Applies to the attributes of Dropdown and Multiple Select types. Can be overridden on a <a href=""%1"">filter level</a>.","Applies to the attributes of Dropdown and Multiple Select types. Can be overridden on a <a href=""%1"">filter level</a>."
"Are you sure you want to change status of selected items?","Are you sure you want to change status of selected items?"
"Are you sure you want to synchronize of selected items?","Are you sure you want to synchronize of selected items?"
"Attribute","Attribute"
"Back","Back"
"Can not synchronize linked attribute!","Can not synchronize linked attribute!"
"Categories","Categories"
"Category","Category"
"Category list style","Category list style"
"Change status","Change status"
"Change status in search","Change status in search"
"Clear All","Clear All"
"Code","Code"
"Collapse All","Collapse All"
"Collapsed","Collapsed"
"Default","Default"
"Default (multiselect)","Default (multiselect)"
"Default filter state","Default filter state"
"Default state of all filters. Can be overridden on a <a href=""%1"">filter level</a>. On mobile phones (when theme switches to 1-column layout) the filters are always collapsed.","Default state of all filters. Can be overridden on a <a href=""%1"">filter level</a>. On mobile phones (when theme switches to 1-column layout) the filters are always collapsed."
"Disable search engine indexing on catalog search pages","Disable search engine indexing on catalog search pages"
"Disable this option if you have got conflicts with 3rd-party SEO extension","Disable this option if you have got conflicts with 3rd-party SEO extension"
"Disable ""Show X Items"" Pop-over","Disable ""Show X Items"" Pop-over"
"Display ""In Stock"" Filter","Display ""In Stock"" Filter"
"Display ""New"" Filter","Display ""New"" Filter"
"Display ""On Sale"" Filter","Display ""On Sale"" Filter"
"Edit Filter","Edit Filter"
"Everywhere, where applicable","Everywhere, where applicable"
"Enable AJAX","Enable AJAX"
"Exclude specific categories","Exclude specific categories"
"Expand All","Expand All"
"Expanded","Expanded"
"Apply Filter","Apply Filter"
"Filter","Filter"
"Filter id is not specified.","Filter id is not specified."
"Filter mode","Filter mode"
"Filter values display limit","Filter values display limit"
"Filter Title","Filter Title"
"Filter was successfully saved.","Filter was successfully saved."
"From","From"
"General Settings","General Settings"
"Get Support","Get Support"
"Hide attribute values if they are not available","Hide attribute values if they are not available"
"Hide filters with no available values","Hide filters with no available values"
"ID","ID"
"If disabled, it may increase page load time","If disabled, it may increase page load time"
"If enabled, it may increase page load time","If enabled, it may increase page load time"
"If quantity of values exceeds the limit, user will see the option ""Show X more"". Setting this option to 0 will display all filter values.","If quantity of values exceeds the limit, user will see the option ""Show X more"". Setting this option to 0 will display all filter values."
"If your website is brand-new, we recommend keeping this option disabled. Otherwise, if your pages have already gained some SEO weight, enable it.","If your website is brand-new, we recommend keeping this option disabled. Otherwise, if your pages have already gained some SEO weight, enable it."
"In Stock","In Stock"
"Invert Selection","Invert Selection"
"Layered Navigation","Layered Navigation"
"Layered Navigation by Aheadworks","Layered Navigation by Aheadworks"
"Manage Filters","Manage Filters"
"Manually (the order is set manually in the attribute settings)","Manually (the order is set manually in the attribute settings)"
"Multiple Select","Multiple Select"
"New","New"
"None of selected filter(s) can be updated.","None of selected filter(s) can be updated."
"Numeric","Numeric"
"On Sale","On Sale"
"Only in categories of the lowest level","Only in categories of the lowest level"
"Page Meta Description Template","Page Meta Description Template"
"Page Meta Title Template","Page Meta Title Template"
"Position","Position"
"Price","Price"
"Readme","Readme"
"Reset","Reset"
"Rewrite meta robots tag","Rewrite meta robots tag"
"Save","Save"
"Save and Continue Edit","Save and Continue Edit"
"Select categories where to display the filter","Select categories where to display the filter"
"Select All","Select All"
"SEO","SEO"
"SEO-friendly URL","SEO-friendly URL"
"Settings","Settings"
"Shop By","Shop By"
"Shopping Options","Shopping Options"
"Show","Show"
"show %1 more","show %1 more"
"show less","show less"
"Single path","Single path"
"Single Select","Single Select"
"Something went wrong while editing the filter.","Something went wrong while editing the filter."
"Something went wrong while saving the filter data.","Something went wrong while saving the filter data."
"Something went wrong while updating the filter(s).","Something went wrong while updating the filter(s)."
"Sort by","Sort by"
"Status","Status"
"Status in search","Status in search"
"Sync Filters","Sync Filters"
"To","To"
"to","to"
"Type","Type"
"Use 301 Redirect for old URLs","Use 301 Redirect for old URLs"
"Use attribute value instead of ID","Use attribute value instead of ID"
"Use attributes to create URL subcategories (Deprecated)","Use attributes to create URL subcategories (Deprecated)"
"Use Default Value","Use Default Value"
"Use from-to price inputs","Use from-to price inputs"
"Use general","Use general"
"Use in Layered Navigation","Use in Layered Navigation"
"Use in Search Results Layered Navigation","Use in Search Results Layered Navigation"
"Use price slider","Use price slider"
"View the user guide","View the user guide"
"Yes","Yes"
"Z-A","Z-A"
"Image","Image"
"Frontend","Frontend"
"Enable swatches","Enable swatches"
"Manage swatches","Manage swatches"
"Yes","Yes"
"No","No"
"Add Swatch","Add Swatch"
"Is Default","Is Default"
"Swatch","Swatch"
"Default Store View","Default Store View"
"Show value names only","Show value names only"
"Show images and value","Show images and value"
"Show images only","Show images only"
"View mode","View mode"
"Image title","Image title"
"<a href=""%1"">Click here</a> to manage the values of this attribute.","<a href=""%1"">Click here</a> to manage the values of this attribute."
"Slider Behaviour","Slider Behaviour"
"Continuous","Continuous"
"Discrete","Discrete"